,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Pressure,Wind Speed,Real Feel Temp,City ID
58,Camaná,PE,86,1634661776,68,-16.6228,-72.7111,68.36,68.36,1015,9.98,68.09,3945985
59,George Town,MY,40,1634661777,93,5.4112,100.3354,78.75,77.9,1014,5.01,80.08,1735106
60,Saint-François,FR,0,1634661646,49,46.4154,3.9054,71.04,71.04,1022,2.3,70.14,2980080
61,Chokurdakh,RU,100,1634661778,97,70.6333,147.9167,-7.62,-7.62,1011,6.38,-20.22,2126123
62,Ushuaia,AR,75,1634661779,50,-54.8,-68.3,55.06,51.42,998,20.71,52.61,3833367
63,Marabu,MY,40,1634661626,94,4.4148,114.0089,75.34,75.09,1013,2.3,77.0,1738050
64,Punta Arenas,CL,75,1634661495,48,-53.15,-70.9167,62.71,55.42,1001,19.57,60.93,3874787
65,Saint Paul Harbor,US,90,1634661780,87,57.79,-152.4072,42.31,42.31,990,9.22,36.84,5866583
66,Mount Gambier,AU,74,1634661676,93,-37.8333,140.7667,44.51,44.51,1021,5.75,41.29,2156643
67,Stolin,BY,82,1634661782,54,51.8912,26.846,40.82,40.82,1026,2.55,40.82,621277
68,Qaanaaq,GL,96,1634661783,73,77.484,-69.3632,22.39,22.39,1010,10.54,11.5,3831208
69,Utete,TZ,100,1634661783,78,-7.986,38.758,76.05,76.05,1015,7.47,77.02,149070
70,Nome,US,90,1634661731,86,64.5011,-165.4064,33.87,31.1,983,23.02,21.67,5870133
71,Olafsvik,IS,57,1634661619,69,64.8945,-23.7142,38.43,38.43,1010,37.49,25.83,3414079
72,Tasiilaq,GL,5,1634661565,49,65.6145,-37.6368,33.96,33.96,1025,1.19,33.96,3424607
73,Mataura,NZ,95,1634661548,67,-46.1927,168.8643,40.41,40.41,1029,2.82,40.41,6201424
74,São Filipe,CV,5,1634661626,64,14.8961,-24.4956,82.24,82.24,1012,4.7,85.57,3374210
75,New Norfolk,AU,35,1634661555,67,-42.7826,147.0587,40.71,37.76,1027,1.12,39.97,2155415
76,Iberia,US,1,1634661787,60,29.9502,-91.7507,76.05,73.11,1021,12.66,75.07,4328254
77,Lagoa,PT,2,1634661787,71,39.05,-27.9833,68.27,68.27,1020,14.29,68.13,3372964
78,Zhangaözen,KZ,97,1634661788,56,43.3,52.8,58.82,58.82,1016,12.08,57.04,607610
79,Northam,GB,100,1634661789,97,51.0333,-4.2167,63.66,59.61,1007,19.89,62.47,2641434
80,Avarua,CK,20,1634661592,94,-21.2078,-159.775,62.65,62.65,1015,1.14,63.03,4035715
81,Wasilla,US,20,1634661790,59,61.5814,-149.4394,40.98,28.65,993,8.99,30.4,5877641
82,Dukat,RU,100,1634661491,97,62.55,155.55,-1.68,-1.68,1011,4.79,-12.15,2125906
83,Essau,GM,77,1634661791,70,13.4839,-16.5347,91.56,91.56,1010,12.06,104.16,2413533
84,Sisimiut,GL,51,1634661793,44,66.9395,-53.6735,34.03,34.03,1021,10.92,25.81,3419842
85,Vaini,TO,40,1634661793,78,-21.2,-175.2,73.56,73.56,1018,10.36,74.28,4032243
86,Geraldton,AU,75,1634661794,77,-28.7667,114.6,61.21,61.21,1012,13.8,60.66,2070998
87,Marawi,PH,72,1634661795,93,7.9986,124.2928,67.64,67.64,1014,3.65,68.47,1701054
88,Pingdu,CN,100,1634661795,65,36.7844,119.9464,42.24,42.24,1028,2.1,42.24,1798821
89,Sinnamary,GF,100,1634661797,70,5.3833,-52.95,84.0,84.0,1011,7.94,90.48,3380290
90,Morón,AR,2,1634661797,38,-34.6534,-58.6198,76.01,69.49,1020,3.0,71.49,3430545
91,Okha,RU,53,1634661798,79,53.5739,142.9478,24.28,24.28,1017,10.56,13.84,2122614
92,Nyurba,RU,100,1634661799,97,63.2842,118.3319,33.84,33.84,1010,10.71,25.66,2018735
93,Hammerfest,NO,20,1634661799,93,70.6634,23.6821,24.53,23.45,1013,2.3,23.45,779683
